Image,Width(pixels),Height(pixels),Height_Width_Ratio,name,locality,number,specimens_number,Longtitude_convert,Latitude_convert,notes
novaehollandiae_Acacia-Plateau_QM127113_01.jpg,3823,2816,0.736594298,novaehollandiae,Acacia-Plateau,MO127113,1,-28.333333,152.416667,
novaehollandiae_Barrington-Tops_C.584421_01.jpg,4504,3504,0.777975133,novaehollandiae,Barrington-Tops,C.584421,1,151.6833,-32.0618,
novaehollandiae_Barrington-Tops_C.584422_01.jpg,4920,3216,0.653658537,novaehollandiae,Barrington-Tops,C.584422,1,151.4672,-32.1247,
novaehollandiae_Barrington-Tops_C.584423_01.jpg,4048,3421,0.845108696,novaehollandiae,Barrington-Tops,C.584423,1,151.4672,-32.1247,
novaehollandiae_Bellengen_QM10840_01.jpg,4658,3437,0.737870331,novaehollandiae,Bellengen,MO10840,1,152.8,-30.366667,
novaehollandiae_Boorgana_QM31445_01.jpg,3664,2640,0.720524017,novaehollandiae,Boorgana,MO31445,1,152.416667,-31.633333,
novaehollandiae_Broader-Ranges_QM17248_01.jpg,5368,4081,0.760245902,novaehollandiae,Broader-Ranges,MO17248,1,153.1,-28.366667,
novaehollandiae_Bruxner_QM33097_01.jpg,4719,3421,0.724941725,novaehollandiae,Bruxner,MO33097,1,153.116667,-30.25,
novaehollandiae_Daisy_QM36992-Plains_01.jpg,3465,3091,0.892063492,novaehollandiae,Daisy,MO36992,1,152.255278,-30.9075,12713
novaehollandiae_Dorrigo_QM33065_01.jpg,4416,3168,0.717391304,novaehollandiae,Dorrigo,MO33065,1,152.566667,-30.366667,
novaehollandiae_Dungog_QM56374_01.jpg,4499,3443,0.765281174,novaehollandiae,Dungog,MO56374,1,151.183333,-32.125,
novaehollandiae_New-England_QM32917_01.jpg,4389,3003,0.684210526,novaehollandiae,New-England,MO32917,1,152.383333,-30.5,
novaehollandiae_Telegherry_QM31867_01.jpg,4637,3256,0.702178132,novaehollandiae,Telegherry,MO31867,1,151.683333,-32.116667,
novaehollandiae_Warwick_QM66656_01.jpg,3480,2680,0.770114943,novaehollandiae,Warwick,MO66656,1,152.333333,-28.233333,
novaehollandiae_Way-way_QM19139_01.jpg,4169,4290,1.029023747,novaehollandiae,Way-way,MO19139,1,152.948611,-30.7875,
novaehollandiae_armidale_c.105155_01.jpg,3960,3688,0.931313131,novaehollandiae,armidale,C.105155,1,152.450000 ,-30.55,
novaehollandiae_armidale_c.105160_01.jpg,3437,3696,1.075356415,novaehollandiae,armidale,C.105160,1,152.4,-30.5,
novaehollandiae_armidale_c.105165_01.jpg,3839,3421,0.891117479,novaehollandiae,armidale,C.105165,1,152.0433333,-30.73972222,
novaehollandiae_armidale_c.112196_01.jpg,3114,3162,1.015414258,novaehollandiae,armidale,C.112196,1,152.4,-30.5,
novaehollandiae_armidale_c.112197_01.jpg,3707,3377,0.910979228,novaehollandiae,armidale,C.112197,1,152.4072222,-30.49361111,
novaehollandiae_armidale_c.112197_02.jpg,3256,3058,0.939189189,novaehollandiae,armidale,C.112197,2,152.4072222,-30.49361111,
novaehollandiae_armidale_c.272204_01.jpg,4096,3408,0.83203125,novaehollandiae,armidale,C.272204,1,152.386389,-30.505,
novaehollandiae_armidale_c.348948_01.jpg,4248,3736,0.879472693,novaehollandiae,armidale,C.348948,1,152.3863889,-30.505,
novaehollandiae_brooklana_c.042050_01.jpg,5005,3674,0.734065934,novaehollandiae,brooklana,C.042050,1,152.853333,-30.270833,
novaehollandiae_bruxner_c.517182_01.jpg,5360,4032,0.752238806,novaehollandiae,bruxner,C.517182,1,153.1,-30.23333333,
novaehollandiae_bruxner_c.517182_02.jpg,4944,3792,0.766990291,novaehollandiae,bruxner,C.517182,2,153.1,-30.23333333,
novaehollandiae_bugan_c.460243_01.jpg,4792,3736,0.779632721,novaehollandiae,bugan,C.460243,1,152.0205556,-31.61083333,
novaehollandiae_buladelah_c.048983_01.jpg,4288,3368,0.785447761,novaehollandiae,buladelah,C.048983,1,152.255,-32.405,
novaehollandiae_buladelah_c.048983_02.jpg,4024,3424,0.850894632,novaehollandiae,buladelah,C.048983,2,152.255,-32.405,
novaehollandiae_bulahdelah_c.118236_01.jpg,4504,3776,0.838365897,novaehollandiae,bulahdelah,C.118236,1,152.2705556,-32.33361111,
novaehollandiae_bulahdelah_c.158013_01.jpg,4114,3476,0.844919786,novaehollandiae,bulahdelah,C.158013,1,152.2586111,-32.34555556,
novaehollandiae_bulahdelah_c.272198_01.jpg,4411,3938,0.89276808,novaehollandiae,bulahdelah,C.272198,1,152.270556,-32.333611,
