Species,CodeNumber,Longtitude_convert,Latitude_convert,Museum,Museum
richmondiana,C.112133,153.1888889,-28.19611111,AM,
richmondiana,C.129284,153.2772222,-28.23527778,AM,
richmondiana,C.137769,153.55,-28.55,AM,
richmondiana,C.320075,153.1666667,-27.91666667,AM,
richmondiana,C.129315,153.2869444,-28.39888889,AM,
richmondiana,C.365178,153.3666667,-28.58333333,AM,
richmondiana,C.117658,153.1666667,-27.91666667,AM,
richmondiana,C.92297,153.1666667,-27.91666667,AM,
richmondiana,C.512638,153.3166667,-28.56666667,AM,
richmondiana,C.158027,153.4966667,-28.27305556,AM,
richmondiana,C.112134,153.4480556,-28.74805556,AM,
richmondiana,C.348955,153.3166667,-28.56666667,AM,
richmondiana,C.12184,153.3147222,-28.68805556,AM,
richmondiana,C.60028,153.35,-28.55,AM,
richmondiana,C.103696,153.3166667,-28.58333333,AM,
richmondiana,C.112145,153.4480556,-28.74805556,AM,
richmondiana,C.101568,153.3333333,-28.63333333,AM,
richmondiana,C.112136,153.15,-28.025,AM,
richmondiana,C.112139,153.4480556,-28.74805556,AM,
richmondiana,C.112131,153.6,-28.71666667,AM,
richmondiana,C.107144,152.7666667,-27.33333333,AM,
richmondiana,C.135521,153.3916667,-28.53333333,AM,
richmondiana,C.112137,153.1666667,-27.91666667,AM,
richmondiana,C.112124,153.1666667,-27.91666667,AM,
richmondiana,C.112142,153.1666667,-27.91666667,AM,
richmondiana,C.128658,152.85,-28.3,AM,
richmondiana,C.129301,153.2833333,-28.4,AM,
richmondiana,C.107145,152.7666667,-27.33333333,AM,
richmondiana,C.105562,153.4,-28.81666667,AM,
richmondiana,C.128856,153.3363889,-28.6375,AM,
sp2,C.583893,150.0925,-31.75416667,AM,
sp2,C.271928,150.2022222,-31.82305556,AM,
sp1,C.478666,150.1708333,-30.29305556,AM,
sp2,C.271936,150.2052778,-31.82166667,AM,
sp2,C.271927,150.2052778,-31.82166667,AM,
sp3,C.474692,150.925,-30.565,AM,
sp3,C.474691,150.9247222,-30.565,AM,
sp1,C.478663,150.1636111,-30.27694444,AM,
sp1,C.478675,150.1636111,-30.28222222,AM,
sp1,C.478681,150.1238889,-30.28027778,AM,
sp3,C.450446,150.9205556,-30.56416667,AM,
sp3,C.452040,150.9247222,-30.565,AM,
sp1,C.478667,150.1708333,-30.29305556,AM,
sp3,C.448187,150.9213889,-30.56194444,AM,
sp3,C.450445,150.9213889,-30.56194444,AM,
sp2,C.337809,150.0177778,-31.69638889,AM,
sp2,C.583894,150.2052778,-31.82166667,AM,
sp2,C.583885,150.2022222,-31.82305556,AM,
sp2,C.583868,150.0288889,-31.69083333,AM,
sp2,C.583886,150.2052778,-31.82166667,AM,
sp2,C.583892,150.2022222,-31.82305556,AM,
sp2,C.583934,150.1788889,-31.79777778,AM,
sp2,C.583929,150.1561111,-31.77333333,AM,
mitchellae,F104092,152.97,-28.48,MV,
novaehollandiae,F104101,150.75,-32.48,MV,
mitchellae,F104098,153.55,-28.22,MV,
richmondiana,F101420,152.97,-28.48,MV,
mitchellae,F104094,153.52,-28.87,MV,
richmondiana,F101428,153.18,-27.95,MV,
richmondiana,F101430,152.97,-28.48,MV,
richmondiana,F101434,152.97,-28.48,MV,
richmondiana,F101435,153.15,-27.92,MV,
novaehollandiae,F234988,152.27,-31.58,MV,
richmondiana,F4845,152.97,-28.48,MV,
mitchellae,F104093,153.62,-28.63,MV,
novaehollandiae,F104102,152.77,-30.42,MV,
