Image,Width(pixels),Height(pixels),Width,Height,Height_Width_Ratio,name,locality,number,specimens_number,Longtitude_convert,Latitude_convert,notes
novaehollandiae_wauchope_c.158019_03.jpg,3168,3256,3.168,3.256,1.027777778,novaehollandiae,wauchope,C.158019,3,152.4772222,-31.20972222,
novaehollandiae_whoota_c.452998_01.jpg,4312,3135,4.312,3.135,0.727040816,novaehollandiae,whoota,C.452998,1,152.4666667,-32.3,
novaehollandiae_woolgoolga_c.158026_01.jpg,4712,3576,4.712,3.576,0.758913413,novaehollandiae,woolgoolga,C.158026,1,153.1416667,-30.12138889,
novaehollandiae_yarriabini_c.272195_01.jpg,4307,3394,4.307,3.394,0.788019503,novaehollandiae,yarriabini,C.272195,1,152.948056,-30.786944,
richmondiana_C.348955_Terania_01.jpg,5841,3894,5.841,3.894,0.666666667,richmondiana,Terania,C.348955,1,153.3166667,-28.56666667,name
richmondiana_Canondale_QM62693_01.jpg,6754,3971,6.754,3.971,0.587947883,richmondiana,Canondale,MO62693,1,152.633333,-26.733333,
richmondiana_Lamington_QM19051_01.jpg,6192,3752,6.192,3.752,0.605943152,richmondiana,Lamington,MO19051,1,153.2,28.216667,
richmondiana_Lamington_QM19051_02.jpg,5296,4016,5.296,4.016,0.758308157,richmondiana,Lamington,MO19051,2,153.2,28.216667,
richmondiana_Lamington_QM19051_03.jpg,5800,3968,5.8,3.968,0.684137931,richmondiana,Lamington,MO19051,3,153.2,28.216667,
richmondiana_Lamington_QM19051_04.jpg,5456,3864,5.456,3.864,0.708211144,richmondiana,Lamington,MO19051,4,153.2,28.216667,
richmondiana_Lamington_QM55411_01.jpg,5288,3984,5.288,3.984,0.753403933,richmondiana,Lamington,MO55411,1,153.216667,-28.25,
richmondiana_Lamington_QM55413_01.jpg,5467,4147,5.467,4.147,0.758551308,richmondiana,Lamington,MO55413,1,153.2,-28.216667,
richmondiana_Lamington_QM55448_01.jpg,5504,4176,5.504,4.176,0.75872093,richmondiana,Lamington,MO55448,1,153.183333,-28.216667,
richmondiana_Lewer-Ballanjoi_QM25801_01.jpg,5940,4279,5.94,4.279,0.72037037,richmondiana,Lewer-Ballanjoi,MO25801,1,153.216667,-28.233333,
richmondiana_Mt-Glorius_QM4235_01.jpg,6680,4240,6.68,4.24,0.634730539,richmondiana,Mt-Glorius,MO4235,1,152.7674619,-27.3318739,
richmondiana_Mt-Warning_QM10496_01.jpg,5856,3840,5.856,3.84,0.655737705,richmondiana,Mt-Warning,MO10496,1,153.266667,-28.4,
richmondiana_booyong_c.112134_01.jpg,6064,3896,6.064,3.896,0.642480211,richmondiana,booyong,C.112134,1,153.4480556,-28.74805556,
richmondiana_booyong_c.112134_02.jpg,6496,4256,6.496,4.256,0.655172414,richmondiana,booyong,C.112134,2,153.4480556,-28.74805556,
richmondiana_byron-bay_c.112131_01.jpg,5874,4191,5.874,4.191,0.713483146,richmondiana,byron-bay,C.112131,1,153.6,-28.71666667,
richmondiana_curumbin-valley_c.158029_01.jpg,5568,3800,5.568,3.8,0.682471264,richmondiana,Crumbin-valley,C.158029,1,NA,NA,
richmondiana_darlington_c.112136_01.jpg,5885,5170,5.885,5.17,0.878504673,richmondiana,darlington,C.112136,1,153.15,-28.025,
richmondiana_lamington_c.112133_01.jpg,6320,4528,6.32,4.528,0.716455696,richmondiana,lamington,C.112133,1,153.1888889,-28.19611111,
richmondiana_lamington_c.112133_02.jpg,5864,4224,5.864,4.224,0.720327422,richmondiana,lamington,C.112133,2,153.1888889,-28.19611111,
richmondiana_lismore_c.012184_01.jpg,6112,4320,6.112,4.32,0.706806283,richmondiana,lismore,C.012184,1,153.3147222,-28.68805556,
richmondiana_lismore_c.103696_01.jpg,5775,3839,5.775,3.839,0.664761905,richmondiana,lismore,C.103696,1,153.3166667,-28.58333333,
richmondiana_lismore_c.105562_01.jpg,6256,4496,6.256,4.496,0.718670077,richmondiana,lismore,C.105562,1,153.4,-28.81666667,
richmondiana_lismore_c.105562_02.jpg,6448,5056,6.448,5.056,0.784119107,richmondiana,lismore,C.105562,2,153.4,-28.81666667,
richmondiana_lismore_c.112143_01.jpg,6096,4928,6.096,4.928,0.80839895,richmondiana,lismore,C.112143,1,153.4655556,-28.72833333,
richmondiana_lismore_c.128856_01.jpg,5600,4240,5.6,4.24,0.757142857,richmondiana,lismore,C.128856,1,153.3363889,-28.6375,
richmondiana_mt-glorious_c.107145_01.jpg,6384,3536,6.384,3.536,0.553884712,richmondiana,mt-glorious,C.107145,1,152.7666667,-27.33333333,
richmondiana_mt-glorius_c.474709_01.jpg,6105,3762,6.105,3.762,0.616216216,richmondiana,mt-glorius,C.474709,1,152.7675,-27.33472222,
richmondiana_mt-tamborine_c.092297_01.jpg,6248,3985,6.248,3.985,0.637804097,richmondiana,mt-tamborine,C.092297,1,153.1666667,-27.91666667,
richmondiana_mt-tamborine_c.112124_01.jpg,5896,4136,5.896,4.136,0.701492537,richmondiana,mt-tamborine,C.112124,1,153.1666667,-27.91666667,
richmondiana_mt-tamborine_c.112124_02.jpg,6648,3816,6.648,3.816,0.57400722,richmondiana,mt-tamborine,C.112124,2,153.1666667,-27.91666667,
richmondiana_mt-tamborine_c.112137_01.jpg,5688,3952,5.688,3.952,0.694796062,richmondiana,mt-tamborine,C.112137,1,153.1666667,-27.91666667,
richmondiana_mt-tamborine_c.112137_02.jpg,6000,4376,6,4.376,0.729333333,richmondiana,mt-tamborine,C.112137,2,153.1666667,-27.91666667,
richmondiana_mt-tamborine_c.112142_01.jpg,5904,4056,5.904,4.056,0.68699187,richmondiana,mt-tamborine,C.112142,1,153.1666667,-27.91666667,
richmondiana_mt-tamborine_c.158025_01.jpg,6240,4920,6.24,4.92,0.788461538,richmondiana,mt-tamborine,C.158025,1,NA,NA,
richmondiana_mt-tamborine_c.158025_02.jpg,6171,5016,6.171,5.016,0.812834225,richmondiana,mt-tamborine,C.158025,2,NA,NA,
